S.No,Title,Address,Category,Contact No,District,Area
2075,National Autos,Unnamed Road,   Auto spring shop, 0300 9311396,Central,Gulberg
2076,National Car Service,3+ years in business  R3MC+MRV,   Car wash,,East,Johar
2077,National tyre shop,R3FH+QHJ,   Mechanic,,Central,Nazimabad
2078,Naviyan's Lube Mart,CS 53,   Oil change service, 0312 2814337,Central,Gulberg
2079,Nazeer Autos Pump Repair Shop,Abul Hasan Isfahani Road،, Auto bodywork mechanic, 0334 3330101,East,Gulzar E Hijri
2080,Nazeer Car Mechanic,5+ years in business  W2MV+PRQ,   Mechanic,,Central,Nazimabad
2081,Nazim Car Electrician,"359-C / 2, Mezannine Floor, Near Oliya Masjid, Off Tariq Rd", Car repair and maintenance, 0300 3566310,East,Gulzar E Hijri
2082,"Nazir Diesel, fuel pump repairing",A1 plaza phase 2 shop number 8 Abul hassan isphani road, Auto repair shop, 0334 3330101,East,Gulzar E Hijri
2083,New Auto Point Workshop,"shop no 1, plot no 32, 7/8, near HILL Park",   Auto bodywork mechanic,,East,Johar
2084,New Disco Tyre,"New MA Jinnah Rd, Fatima Jinnah Colony, Jamshed Quarters",   Auto parts store,,East,Johar
2085,New Fine Cool Car AC Shop,, Store, 0301 2300366,East,Gulzar E Hijri
2086,New hadi tyre,VX7P+CQF,   Tire shop,,Central,Nazimabad
2087,New Imran Auto Engineering Works,8 Shahrah-e-Jahangir,   Mechanic,,Central,Gulberg
2088,New Ittehad tyre,"Shop No.16, Block C, KPT Building, Old Truck Stand, Maripur",   Tire shop, (021) 32528644,Central,Nazimabad
2089,New Japan Autos,"25+ years in business  Akakhail Chowrangi Sohrab Goth Super Hi-Way, Shop No.#22 Block P Al-Asif Square Adjacent to Ghousia Shinwari Restaurant Off Gohar Bara Cloth Market Opp. Rufi Shopping Mall", Auto repair shop, 0332 2800417,East,Gulzar E Hijri
2090,New Kismat Autos,Shop #1 Qismat Bara Market,   Auto parts store, 0313 8444067,East,Gulshan
2091,New Mackah Motors,,Car detailing service,0321 2768771,East,Gulzar E Hijri
2092,New Quetta Autos,Abul Hasan Isphahani Rd,      Car repair and maintenance,,East,Gulzar E Hijri
2093,New Raj Autos,"Shop # 7, PWSC, Block E, Hyderi",   Auto parts store, 0344 2362233,Central,Nazimabad
2094,New Saqib Engineering Works,Sagheer Centre,   Auto repair shop,,Central,Gulberg
2095,New Sundas Tyres,A 916,   Tire shop, 0300 9282656,Central,Nazimabad
2096,New Super Car Wash,Plot 258 ,Car wash, 0303 9701413,East,Gulzar E Hijri
2097,New Tyre Exchange,"Islamia College Block, New M. A. Jinnah Rd, near Total parco, Tyre Market",   Tire shop,,East,Johar
2098,NISA AUTO'S,24 MARKET ROAD,   Auto parts market,0346 2062493,East,Gulshan
2099,Noor Ahmed Auto Engineering Works,W3H8+MPX,   Auto bodywork mechanic, 0324 3268204,Central,Gulberg
2100,Noor Auto Spare Parts,X3WV+X39, Motorcycle parts store,,East,Gulzar E Hijri
2101,Noor khan rent a car,Al Hadi Industries St,   Car rental agency,,East,Gulshan
2102,Noor Service Station,V3W8+JVQ ,Car wash, 0313 9201130,East,Gulzar E Hijri
2103,Noorani Autos,R-70 Abul Hasan Isphahani Rd, Auto parts store,0333 3525360,East,Gulzar E Hijri
2104,NS Traders,Ali Rd, Used auto parts store, 0336 2044911,East,Gulzar E Hijri
2105,Oil Shop,X4RM+PVM,      Oil change service,,East,Gulzar E Hijri
2106,Omer rent a car,Jauhar Chowrangi Rd,   Corporate office,0316 2102013,East,Johar
2107,OVER DRIVE CAR PARLOUR,"Sardar Complex, Shop No. 4, Main Rashid Minhas Rd",   Car accessories store, 0333 8304304,East,Gulshan
2108,OverDrive Motors,W4MP+XHX,   Car rental agency,0346 3170240,East,Johar
2109,Owais Battery And Oil,W4PP+5W3,   Car battery store,,East,Johar
2110,Owais Traders Tyre & Wheel alignment,R 54,   Tire shop,,Central,Gulberg
2111,PAK Autos & Motor Winding & Electric store,Abul Hasan Isfahani Road،,      Auto parts store,,East,Gulzar E Hijri
2112,Pak Pindi auto,X34W+982, Auto parts store, 0315 8993325,East,Gulzar E Hijri
2113,Pakistan Car A/C & CNG,,   Auto repair shop,,East,Johar
2114,Pappu mechanic,White Houses,   Auto repair shop,,East,Johar
2115,PitCar.Pk,X47H+J6X ,Car wash, 0300 0748227,East,Gulzar E Hijri
2116,PSO Car Wash,Al Waris Street,   Car wash,,East,Johar
2117,Pso Service Station,XX4R+63J,Car wash,,East,Gulzar E Hijri
2118,PSO Tyre shop,R3JH+JFJ,   Tyre manufacturer,,East,Johar
2119,Puncture Shop Sakhi Hasan,9 Shahjahan Ave  In Serena Mobile Mall,   Mechanic,,Central,Nazimabad
2120,Punture Shop,Tabish Dehlavi Road,   Tire shop,,Central,Nazimabad
2121,Quick Car Wash,Shahrah-e-Jahangir ,Car wash, (021) 111 786 786,East,Gulzar E Hijri
2122,R. K. Autos,"3+ years in business  Shop#C-15, Saghir Center, 18A Rashid Minhas Rd", Auto repair shop, 0333 3460710,East,Gulzar E Hijri
2123,RAC karachi,V2RR+5MQ,   Car rental agency, 0347 2204943,Central,Nazimabad
2124,Rafeeq auto shop,R5R9+JC4,   Mechanic,,East,Faisal Cantonment
2125,Rafiq Marri Baloch Cars Work Shap,W4QR+V2G, Auto bodywork mechanic,0301 0083100,East,Gulzar E Hijri
2126,Raheel Autos,"Pehlwan Goth Rd, opposite dubai house",   Auto repair shop,,East,Johar
2127,Raheem Autos & Spare Parts,"Fahad Square Shop No. 47, C", Auto parts store,,East,Gulzar E Hijri
2128,Raheem Gul Autos (Bike Mechanic),3+ years in business  X4QF+FRV, Mechanic, 0344 2301881,East,Gulzar E Hijri
2129,Raj Auto Accessories,"Shop #48, Yasin Malik Rd",   Auto parts store,0333 3718810,Central,Nazimabad
2130,Raju Autos,LS.30,   Auto repair shop,,Central,Nazimabad
2131,RAMEEZ HIGHWAY OIL TRADERS,Karachi - Hyderabad Motorway, Oil change service, 0332 3584380,East,Gulzar E Hijri
2132,Ramzan Suzuki Motorcycle Workshop,5+ years in business  W4W2+HCM, Mechanic, 0300 2242740,East,Gulzar E Hijri
2133,Rayyan Motors,"A -1 U k plaza, Block 7",   Auto repair shop,,Central,Gulberg
2134,Rbcl sarvies center,"Plot C, 22 ",Car wash, 0311 1133315,East,Gulzar E Hijri
2135,RCT Rent a car service,"Black D, St 10",   Car rental agency,,East,Johar
2136,Real tech computer mobile repairing,Shop no 15 gulshan block 4 Sehar appartment shop num 15 block 4 gulshan Sehar appartment shop 15,   RV repair shop,0345 2205911,East,Gulshan
2137,Rehan & Faizan Bike Mechanic,"3, Block, 3",   Mechanic,,East,Faisal Cantonment
2138,Rehan autos,N 4079,      Auto bodywork mechanic,,East,Gulzar E Hijri
2139,Rehan oil traders,KDA Road،, Oil change service, 0345 3542600,East,Gulzar E Hijri
2140,Rehan Tyre Shop,Unnamed Road,   Store,,East,Johar
2141,Rehman Autos Rlectrician,"Chota Gate, Near Bank Of Punjab, Shar e Faisal, Airport Road",   Car repair and maintenance, 0313 2550099,East,Faisal Cantonment
2142,Rehmat Autos,3+ years in business, Car repair and maintenance, 0300 3547945,East,Gulzar E Hijri
2143,Rent & Ride Services,"R-424, 6",   Car rental agency, (021) 36946655,Central,Gulberg
2144,Rent a Alto eco 2013 Japanese,Abu Al Hishiphani road,   Car leasing service,  0333 2775778,East,Gulshan
2145,Rent a car (self drive),W428+J43  In Millennium Mall,   Transportation service,,East,Johar
2146,Rent a car in Karachi (MCR),Anam estate building,   Car rental agency,  0321 2267890,East,Gulshan
2147,Rent a car Karachi self Drive,School Rd,   Car leasing service, 0315 0263849,East,Johar
2148,Rent a car self,W4FP+FWX,   Car rental agency, 0334 7091757,East,Johar
2149,Rent a car self drive,W4FQ+M43,   Transportation service, 0334 7091757,East,Johar
2150,Rent'a'Car Pakistan,"M-13 Rafi Star Plaza Mezzanine Floor, Main Shahrah-e-Faisal, opposite Star Gate",   Car rental agency,. 0300 2277225,East,Johar
2151,Rent'A'Car.Pk Karachi,"R-91 Phase-2 Block-B Gulshan-e-Usman, near Saadi Town",   Car rental agency, 0312 8660318,East,Johar
2152,Riaz Tyre Shop,G /12 FEDERAL CAPITAL AREA,   Tire shop, 0311 8332296,East,Johar
2153,Rihaan Auto Workshop,3+ years in business  R-109 Kiran Hospital Rd,      Chauffeur service,,East,Gulzar E Hijri
2154,Rizwan Ali Autos,X423+MPC, Auto parts store, 0335 3577252,East,Gulzar E Hijri
2155,Rizwan bhai ac,COM 8/3,   Auto repair shop,,East,Johar
2156,Rocket services,W49J+PWR,   Car rental agency, 0312 2388578,East,Johar
2157,Roghani Car Wash,X26X+943 ,Car wash, 0333 3682768,East,Gulzar E Hijri
2158,Roma Petroleum,Abul Hasan Isphahani Rd,Car wash,,East,Gulzar E Hijri
2159,Royal Tyre Shop,,   Wheel store, (021) 35391891,East,Johar
2160,Rozi Autos,Chapel Sun City Bypass Rd, Auto repair shop, 0345 1760401,East,Gulzar E Hijri
2161,RS Oil Traders And Car Wash,Altaf Ali Barelvi Rd ,Oil change service, (021) 34925426,East,Gulzar E Hijri
2162,S Asmat Autos,X32R+7QP, Auto parts store, 0334 3747491,East,Gulzar E Hijri
2163,S.k rent a car,"office No.7,5-C,20/11,Commercial Area neaar Khilafat Chowk",   Transportation service,,Central,Nazimabad
2164,S.N Lubricants,"Altaf Ali Barelvi Service Rd, plot no 9  In Mobile Battery Centre",   Oil change service,,Central,Nazimabad
2165,S.s tyre point,X435+5MV, Auto repair shop, 0306 2450871,East,Gulzar E Hijri
2166,Sabir Auto Mechanic,3+ years in business  Clayton Quarters Jamshed Quarters Karachi Karachi City Sindh,   Mechanic,,East,Faisal Cantonment
2167,Sabir tyre shop,X552+F2F,   Auto chemistry shop, 0317 6493917,East,Johar
2168,Sadam,Mehmoodabad Rd,   Tire shop,,Central,Nazimabad
2169,Saeed & son's car wash,Unnamed Road,Car wash,,East,Gulzar E Hijri
2170,SAEED AUTOS,Sagheer Center  In Sagheer Center,   Wheel alignment service, 0317 2040722,Central,Gulberg
2171,Saeed Tyre Corporation,Mohan Rd,   Tyre manufacturer,(021) 32018728,Central,Nazimabad
2172,Safdar Autos,3+ years in business  A-12 Kiran Hospital Rd Karachi 75280 Kiran Hospital Rd, Mechanic,,East,Gulzar E Hijri
2173,Safdar Car Painter,Plot LS A,   Car repair and maintenance,0346 2076033,East,Gulshan
2174,Sagheer Auto Workshop,,      Auto bodywork mechanic, 0308 6943809,East,Gulzar E Hijri
2175,Saif Kk Autos,"Pakistan, near Faisal Bank Sch#33", Auto parts market,      0334 0391718,East,Gulzar E Hijri
2176,Sajan & sons Car wash,Unnamed Road ,Car wash, 0334 3188285,East,Gulzar E Hijri
2177,Sajid Autos,"40+ years in business  Hashim Raza Rd, near Abbasi Market", Car repair and maintenance, 0300 2723501,East,Gulzar E Hijri
2178,Sajid Autos,7+ years in business, Motorcycle repair shop,,East,Gulzar E Hijri
2179,Sajid Tyre Corporation,"Bahadur Shah Center, Saddar Town",   Tire shop, (021) 37725926,East,Johar
2180,Sajjad motor workshop,fondation blasing main university Road,   Auto repair shop,,East,Johar
2181,Sakhi wahab rent A car,"Plot D, 27",   Car rental agency, 0312 0281033,Central,Gulberg
2182,Salateen Motor Company,3+ years in business  R3VX+36C, Auto body shop, 0335 4009819,East,Gulzar E Hijri
2183,Saleem autos and old spare parts,Unnamed Road,   Auto parts store, 0343 3494139,Central,Gulberg
2184,Saleem car deals,W25P+M3V,   Auto repair shop, 0320 8322083,Central,Nazimabad
2185,Saleem carbaiter mechanic,X3JC+W8X,   Car repair and maintenance,,Central,Nazimabad
2186,Salika Autos,Unnamed Road Gulzar-e-Hijri Sindh, Motorcycle parts store,0321 8949350,East,Gulzar E Hijri
2187,Sana Auto Motor Cycle Parts,Bilawal Shah Noorani Goth, Motorcycle repair shop,0303 7656118,East,Gulzar E Hijri
2188,Sana Autos,Bilawal Shah Noorani Goth,      Motorcycle repair shop,,East,Gulzar E Hijri
2189,SAQIB TRADERS,"Shop no 2,G-4, plot 3-F, 8/22 nazimabad no3 near gole market",   Auto parts store, 0332 3504508,Central,Nazimabad
2190,SARAIKI BIKE MECHANIC,W472+CQR,   Mechanic,,East,Gulshan
2191,sarena wash,,Car wash,0316 1555222,East,Gulzar E Hijri
2192,Sartaj Shell Petrol Pump and Car Wash,VXVQ+7VX ,Car wash, 0345 6275531,East,Gulzar E Hijri
2193,SB Autos,Unnamed Road,   Tuning automobile,0303 2933698,East,Gulshan
2194,SENSHA PAKISTAN,A-33، near al-jadeed supermarket ,Car detailing service, 0333 2121589,East,Gulzar E Hijri
2195,Shabbir Autos,W23C+26C,   Mechanic,,Central,Nazimabad
2196,Shafiq autos,Street 3 ,Car wash, 0321 8711015,East,Gulzar E Hijri
2197,Shah jee service pump,"Sabiamm Avenue, SR-54",Car wash,,East,Gulzar E Hijri
2198,Shah Ji Autos & Macanic,abul Hassan isphani road,      Auto parts market,,East,Gulzar E Hijri
2199,SHAH MOTER's,Farooq-e-Azam Rd,   Car rental agency,0322 2270053,Central,Nazimabad
2200,Shahbaz Rent A Car & Real State,8 Nishtar Rd  In Street cuisine,   Car leasing service,,East,Johar
2201,Shahid Tyres,WX96+9PF,   Tire shop,,Central,Nazimabad
2202,Shahsawar oil change,Abul Hasan Isphahani Rd  In Total PARCO Petrol Pump,      Mechanic, 0333 2143721,East,Gulzar E Hijri
2203,Shahsawe Autos,W3XR+6PF, Auto repair shop, 0300 2427602,East,Gulzar E Hijri
2204,Shahzad Hassan Battery Center,Shop#3 Mohsin corner behind Erum shopping mall,   Car battery store, 0345 2080829,East,Johar
2205,Shaikh Autos,W4HQ+4MX,   Auto bodywork mechanic,0300 2823344,East,Johar
2206,Shakeel Auto Engineering works,"Shop. 4, Plot 5, 18",   Auto machine shop, 0345 2182484,Central,Nazimabad
2207,SHAMEEM CAR WASH,Orangi Rd,Car wash,,East,Gulzar E Hijri
2208,Shamsi bike aervice centre,H no R,Car wash,,East,Gulzar E Hijri
2209,SHAN ENGINEERING,Shah Faisal Town,   Auto parts store,0332 3623479,East,Faisal Cantonment
2210,Shan Oil,W3PP+922,   Auto bodywork mechanic,,Central,Gulberg
2211,Sharif Engineering Works,3+ years in business  Shah Faisal Town,   Auto repair shop,,East,Faisal Cantonment
2212,Shayan Autos,3+ years in business  W4FP+XRM,   Mechanic, 0317 2668133,East,Johar
2213,Shehzan Rent A car,W2G2+4J4,   Car rental agency,  0300 2249709,East,Gulshan
2214,Sheikh Auto Mobile,W3XR+M2M,      Auto parts store,Open ⋅ Closes 8AM  0300 2290712,East,Gulzar E Hijri
2215,Shell,"Shahrah-e-Jahangir 5, Road ",Car wash, (021) 36375726,East,Gulzar E Hijri
2216,Shell,Rashid Minhas Rd ,Car wash, (021) 34615074,East,Gulzar E Hijri
2217,Shell,"Service Road, Sc-18 Shahrah E Liaquat ",Car wash, (021) 36999047,East,Gulzar E Hijri
2218,Shell,Shahrah-e-Pakistan ,Car wash, (021) 36337510,East,Gulzar E Hijri
2219,Shell,C/23 A Sher Shah Suri Rd ,Car wash, (021) 32572961,East,Gulzar E Hijri
2220,Shell Helix Oil Change and car wash,,Car wash, 0300 8903613,East,Gulzar E Hijri
2221,Shell Tyre Shop,39B,   Tire shop,,Central,Nazimabad
2222,Shiraz Tyer,Bahadurshah Zafar Market,   Tire shop,,East,Johar
2223,Shoaib autos,X43P+PQ3, Auto parts store,0300 2245518,East,Gulzar E Hijri
2224,Shoaib transport service,Liaqatabad Flyover,   Car rental agency,,Central,Gulberg
2225,Sikandar Service Station,W4PP+2QR,Car wash,,East,Gulzar E Hijri
2226,Sindhu Car wash & Oil change,X43Q+F72 ,Car wash, 0330 2632511,East,Gulzar E Hijri
2227,Sindhu Oil Change,New Karachi - University Rd Link, Oil change service,(021) 34656999,East,Gulzar E Hijri
2228,SirCar - Car Wash Services,"opposite Pavilion End Club  In National Complex Apartments, B-2 ",Car wash, 0312 2771426,East,Gulzar E Hijri
2229,Sm wheel alignment(Danish),W4F8+GX3,   Wheel alignment service,,East,Johar
2230,Smart Auto Point,Plot R 42 ,Car wash, 0313 2489524,East,Gulzar E Hijri
2231,Sohail & Hassan Battery Service,,   Auto parts store, (021) 36810612,Central,Gulberg
2232,Speed Chasers auto workshop,"Service Lane, Jauhar Chowrangi Road",   Auto repair shop,,East,Johar
2233,ST Tyre Company - Tyre Shop Karachi Pakistan,"Shop # 31, Fancy View Apartment, Sector 13-B Scheme 33, Main, Karachi - Hyderabad Motorway",   Tire shop, 0311 2020666,East,Gulshan
2234,Star Autos,"Shop B14 Saghir Center Rashid Minhas Road, Government Degree Girls Science And Commerce College Block 16 Rd",   Auto parts store, 0336 2269989,Central,Gulberg
2235,Star Car Detailing,"Suite# 412, Mashrique Centre ",Car wash, 0345 2091285,East,Gulzar E Hijri
2236,STREET TYRES,W437+CR8,   Tire shop,  0315 8459527,East,Johar
2237,Subhan Autos,"Subahn Autos, near Bilal Masjid",   Auto repair shop,,East,Gulshan
2238,Subz Car,Block E Razia Centre,   Car rental agency,,Central,Gulberg
2239,Sultan Autos,Unnamed Road, Auto parts store, 0314 2323237,East,Gulzar E Hijri
2240,Sun Autos,R 327,   Auto parts store, 0300 2367273,Central,Gulberg
2241,Super Car Wash,"Shadman Town No 1, near Sakhi Hasan Chorwangi ",Car wash, 0300 2017726,East,Gulzar E Hijri
2242,Super oil depot,"Opposite parco petrol station, Shahrah-e-Jahangir Rd, near muka chowk",   Oil change service,,Central,Gulberg
2243,Super Wheels,Abid Square Pakistan Ave Block 7,   Auto parts store,,Central,Gulberg
2244,Syed Autos & Spare Parts,Gulistan-e-Jauhar-Malir Cantt Rd,   Motorcycle parts store, 0342 6372036,East,Faisal Cantonment
2245,T.J's Innovative Auto Body Works - Johar Branch,,Car detailing service,0333 3738698,East,Gulzar E Hijri
2246,Tahir zalmi live koyla karahi,W2QJ+35R,   Racing car parts store,,Central,Nazimabad
2247,Taif Autos,LS-16 LS-16,   Auto repair shop, 0336 2759324,Central,Gulberg
2248,Taj Quetta Service Station,X33X+5RV,Car wash,,East,Gulzar E Hijri
2249,"Talha Awan, Zafar Iqbal tyre shop",24 Market Rd,   Tire shop,,Central,Nazimabad
2250,TCS Safoora Express Center,"safoora chowrangi Karachi, Arif Arcade, Shop no 21, Kiran Hospital Rd",Courier service,  0316 9992270,East,Gulzar E Hijri
2251,Techno MotorSports-KDA Branch,Shop no 1 Kda market,   Tire shop,,East,Johar
2252,Telematics Master Pvt. Ltd.,Jamshed Rd,   GPS supplier, 0313 0722222,,
2253,Tessla Auto Care,35-A,   Car detailing service, 0300 2186889,East,Johar
2254,The Artco and Rent a car,"Al-Karam Square, S M Taufiq Rd",   Car rental agency,,Central,Nazimabad
2255,The Best Rent a Car,R4FW+FQX,   Car leasing service,,East,Gulshan
2256,The car spa,"shop # s, Latif Terrace, Location, 11 Sohrab Goth Flyover, near Edhi centre",Car wash,  0321 2635668,East,Gulzar E Hijri
2257,The Garage Autos,,      Auto repair shop,,East,Gulzar E Hijri
2258,The Garage Autoworks,"Shop06, SB05, Elsa garden",   Tuning automobile,0333 2094760,East,Johar
2259,The Movers Rent A Car,"Pioneer White Palace, Shop # 8",   Car rental agency, 0316 8923923,East,Johar
2260,The Smart Wash,"Plot ST, 3",   Car wash, 0313 2284327,East,Johar
2261,The Tyre Spot,107-J,   Tire shop, 0300 9206076,East,Johar
2262,The Water Worx,"Mehran Filling Station PSO, MP Check Post# 6 ",Car detailing service, 0321 2625085,East,Gulzar E Hijri
2263,Tire Shop,National Stadium Rd,   Tire shop, 0300 3699268,East,Johar
2264,Toheed Autos,X47W+2Q6, Mechanic,0340 3082301,East,Gulzar E Hijri
2265,Tooba tyre shop,R3JF+228,   Tire shop,,East,Johar
2266,Top drive Rent a car,,   Car rental agency, 0322 2310235,Central,Gulberg
2267,Topgear Rent A Car,Ground Floor Unit 2، 6C، Street 21,   Car rental agency, 0321 2460777,East,Gulshan
2268,Total Car Wash,,Car wash,,East,Gulzar E Hijri
2269,Total PARCO Petrol Pump,"Sector 3B, Scheme 33, 16 to 17 km on Super Highway, Karachi ",Gas station, 0301 8249881,East,Gulzar E Hijri
2270,Total Tire Shop,L 1D,   Tire shop,,East,Johar
2271,Toyota Highway Motors,Toyota Highway Motors، Karachi - Hyderabad Motorway ,Car detailing service, (021) 36880001,East,Gulzar E Hijri
2272,TRIMS.PK,PLOT # 8A MAIN SUPER HIGHWAY NEXT TO SHAHEEEN SHINWARI, Auto parts store, 0302 8291540,East,Gulzar E Hijri
2273,Truck Wash,Irfan Masood Rd,Car wash,,East,Gulzar E Hijri
2274,Tyre /Puncher Shop,X398+CHJ,   Used tire shop,,Central,Nazimabad
2275,Tyre and Spare Parts Shop,X4Q2+4RP, Auto parts store,      0306 0125246,East,Gulzar E Hijri
2276,Tyre Centre,"Shahrah-e-Faisal Star Gate, CCA Colony, Faisal Cantonment, Karachi, Karachi City, Sindh 75350",   Auto repair shop,,East,Faisal Cantonment
2277,Tyre Experts,52 P2,   Store, 0300 9262854,East,Johar
2278,Tyre Master,Allama Iqbal Rd,   Tire shop,,East,Johar
2279,Tyre on Go,"Shah Faisal Plaza, SHOP No. A-5",   Tire shop,  0333 2219648,East,Gulshan
2280,tyre puncher shop,W4MM+PR5,   Electronics store,,East,Johar
2281,Tyre Puncture Shop,W4FQ+87P,   Auto repair shop,,East,Johar
2282,Tyre Repair Shop,Railway Crossing Rd,   Auto repair shop,,East,Faisal Cantonment
2283,Tyre Repair Shop,X42R+5PP, Tire shop,    ,East,Gulzar E Hijri
2284,Tyre repairing shop,ST 3,   Tyre manufacturer,,East,Gulshan
2285,Tyre service,W4MG+6PC,   Tire shop,,East,Johar
2286,Tyre Shop,Kiran Hospital Rd, Tire shop,,East,Gulzar E Hijri
2287,Tyre Shop PSO,W3PG+F63,   Tire shop,,East,Johar
2288,Tyreman Online,"Plot C-28-C 24th Commercial, Phase II Ext. Rd",   Tire shop, 0344 4466444,East,Johar
2289,U.S Tyres,"Rado Hill View, Shop No G-114",   Tire shop, 0302 8700513,East,Johar
2290,Ujala Motor,Badar St,   Car rental agency,0336 3829709,East,Johar
2291,Uma CNG & Car Wash,Rashid Minhas Rd,CNG fittment center,,East,Gulzar E Hijri
2292,Umair Auto electrician and car Ac work,"L-3068-A, Abul Hasan Isphahani Rd", Auto electrical service,0307 2865219,East,Gulzar E Hijri
2293,Umar autos rabia city,New Rd Service Ln,   Auto parts store, 0323 2319940,East,Johar
2294,Unique car wash,,Car wash,,East,Gulzar E Hijri
2295,Unity Tyres,,   Tire shop,0300 9452348,East,Gulshan
2296,Usama Autos,243M+W28, Motorcycle repair shop,      0314 2152515,East,Gulzar E Hijri
2297,Usman Mechanic,Burhani Rd,   Mechanic, 0321 2980446,Central,Nazimabad
2298,Ustad Hanif mechanic,Ayesha Manzil،,   Mechanic,,Central,Gulberg
2299,Uzair autos and spare parts,W4XJ+J42,      Motorcycle repair shop,,East,Gulzar E Hijri
2300,VavaCars Gulshan-e-Iqbal,W339+JH6  In Baradari Appartment,   Car inspection station, (021) 111 828 211,East,Gulshan
2301,Waqas Autos,12 Block A Rd,   Car repair and maintenance, 0311 2719927,East,Johar
2302,waqas tyres,Mauripur Rd,   Tire shop, 0345 8283313,Central,Nazimabad
2303,Waseela rent a car service,Shop # 11' main road near P.m.j square,   Transportation service,,East,Johar
2304,Waseem Abass Autos and Spare Parts,X43P+XHC,      Mechanic, 0302 2022090,East,Gulzar E Hijri
2305,"Wash Onn, Car Lubricants & Accessories","Shop # 5, Plot # D-16, Govt. Teachers Housing Society, Near Madras Chowk, Sector 16-A, Scheme 33",Car accessories store,,East,Gulzar E Hijri
2306,"Wash Onn, Car Service Station","Shop # 6, Plot # D-16, Govt. Teachers Housing Society, Near Madras Chowk, Sector 16-A, Scheme 33",   Car wash,,East,Johar
2307,Welcome Auto Workshop (AC and EFI specialist),Shop # D 3 1 2/2 Zahid Square,   Auto repair shop,0321 2189190,Central,Gulberg
2308,Worakshop,Mirza Alam Baig Rd,      Auto repair shop,,East,Gulzar E Hijri
2309,www.tanoliautoscarmechanic24.com,"835,central commercial area, Allama Iqbal Rd, near jheel park",   Mechanic,0342 2709250,East,Faisal Cantonment
2310,XLR8 Motorsports,W4HQ+MH5,   Tuning automobile, 0322 2833273,East,Johar
2311,YaB rent a car,X568+WHC ,Lodging, 0303 8974207,East,Gulzar E Hijri
2312,Yaqoob rent acar,Al-Karam Square,   Car leasing service, 0300 2668061,Central,Nazimabad
2313,Yokohuma Tyr Shop,V3Q7+HRH,   Tire shop,,Central,Nazimabad
2314,Yousaf Tyre Works,Sir Ghulam Hussain Hidayatallah Rd,   Tire shop,,East,Johar
2315,Yousuf Bhai Mechanic,Ruttan St  In Madina Plaza,   Auto repair shop,,Central,Gulberg
2316,ZAFCOM LUBRICANTS ( CAR OIL CHANGE SHOP ),7+ years in business  Main Korangi Rd, Oil change service, 0333 2233555,East,Gulzar E Hijri
2317,Zakir Hidayat Auto Engineering Works,3+ years in business  W5Q5+G46,   Auto repair shop,,East,Johar
2318,Zam Zam Tyre,BS 20,   Tire shop,,East,Gulshan
2319,Zaryab motors and Rent a car,,   Car rental agency, 0313 1193336,Central,Nazimabad
2320,zeeshan autos,Unnamed Road, Mechanic,,East,Gulzar E Hijri
2321,Zic oil golden point,"Shop 30, Lakhani Tower",Car wash,,East,Gulzar E Hijri
2322,Zig Tires Shop,Kamran Chowrangi Bus Stop,   Tire shop,  0321 8727809,East,Johar
2323,Zohaib's tyre inn,"Dastayar Apartments, Gulistan-e-Jauhar-Malir Cantt Rd",   Tire shop,,East,Johar
2324,Zubair Auto And Mechanical Workshop,KDA Road،, Machine workshop,,East,Gulzar E Hijri
2325,Zubi Autos,W22R+8PC,   Mechanic,,Central,Nazimabad
2326,Zulfi Autos,Suparco Rd,      Motorcycle parts store, 0346 1253397,East,Gulzar E Hijri
2327,راشد آٹوز,W36M+7VP,   Mechanic,0301 2385173,East,Johar
2328,زبیر اٹوز,X34W+Q45,      Auto parts store,,East,Gulzar E Hijri
2329,مرکز ٹائر پنکچر شاپ,W3JH+PP6,   Tire repair shop,,Central,Gulberg
2330,Ismail Autos,Jamshed Rd,      Auto repair shop,      0302 2583184,East,Jamshed Quarters
2331,A R AUTOS,"shop no 7 green builiding, Guru Mandir Chorangi",      Auto repair shop, 0300 3332014,East,Jamshed Quarters
2332,Salahuddin Autos,Jamshed Rd, Auto repair shop, 0300 2291063,East,Jamshed Quarters
2333,ABU BILAL AUTO WORKSHOP,"10+ years in business  Shop#219, Jamshed Rd", Mechanic, 0302 2525439,East,Jamshed Quarters
2334,Kar Kare Auto Workshop,7+ years in business  Jamshed Rd, Auto repair shop,0321 9237777,East,Jamshed Quarters
2335,Momi Car Workshop,"Plot # 75, Achar wali gali, Jamshed Rd", Auto repair shop,      0333 3314395,East,Jamshed Quarters
2336,Jamal Autos,Jamshed Rd,      Car repair and maintenance,      0332 8208721,East,Jamshed Quarters
2337,Jawed Autos Workshop,"JM-551 Catholic Colony Dada Bhai, Nooroji Road, near P.S.O Petrol station", Mechanic, 0334 2121974,East,Jamshed Quarters
2338,Auto medic,Cummings Rd, Mechanic,0335 9200009,East,Jamshed Quarters
2339,Continental Automobile,V2FW+V5F, Car repair and maintenance,(021) 34923300,East,Jamshed Quarters
2340,"Gulzar Autos, Guru Mandir",Open ⋅ Closes 8AM, Auto repair shop,,East,Jamshed Quarters
2341,Muhammadi Autos,3+ years in business  Jamshed Rd, Car repair and maintenance,      0300 2438963,East,Jamshed Quarters
2342,A.Z Autos,Jail Rd, Auto repair shop, (021) 34926444,East,Jamshed Quarters
